dev_id,week,issues_opened,issues_closed,issues_reopened,avg_pr_merge_days
D07,7,7,7,0,3
D07,8,3,2,2,5
D07,9,3,2,2,5
D07,10,5,5,2,4
D07,11,8,7,4,5
D07,12,7,5,3,4
D07,13,5,5,2,5
D08,1,9,7,1,1
D08,2,3,3,0,1
D08,3,7,3,1,1
D08,4,6,5,0,3
D08,5,7,4,0,2
D08,6,3,3,0,2
D08,7,4,4,1,3
D08,8,8,2,1,3
D08,9,6,2,0,2
D08,10,5,4,1,1
D08,11,3,3,0,1
D08,12,3,2,0,3
D08,13,8,5,0,2
D09,1,3,3,1,3
D09,2,3,3,1,2
D09,3,3,3,0,3
D09,4,3,3,1,1
D09,5,5,3,1,3
D09,6,5,3,1,3
D09,7,4,2,1,3
D09,8,7,7,1,2
D09,9,7,7,0,1
D09,10,3,3,1,3
D09,11,3,2,0,1
D09,12,4,2,0,3
D09,13,7,3,0,2
D10,1,3,2,0,3
D10,2,5,3,1,1
D10,3,9,2,0,2
D10,4,8,4,0,3
D10,5,9,2,1,3
D10,6,6,2,0,1
D10,7,7,3,0,1
D10,8,6,5,0,1
D10,9,3,3,1,2
D10,10,5,4,0,3
D10,11,6,2,1,3
D10,12,7,6,0,2
D10,13,4,2,0,2
D11,1,9,3,0,1
D11,2,4,3,0,2
D11,3,4,4,0,1
D11,4,4,3,0,3
D11,5,9,5,0,2
D11,6,8,2,0,3
D11,7,9,4,1,3
D11,8,9,2,0,1
D11,9,8,5,1,1
D11,10,6,3,1,1
D11,11,8,4,1,2
D11,12,8,8,1,1
D11,13,9,2,1,2
D12,1,9,9,1,1
D12,2,5,5,0,2
D12,3,6,4,1,1
D12,4,5,2,1,1
D12,5,6,2,0,3
D12,6,6,5,1,1
D12,7,5,5,1,2
D12,8,3,2,1,3
D12,9,4,2,0,2
D12,10,5,5,0,1
D12,11,4,2,0,2
D12,12,6,3,1,3
D12,13,5,2,0,1
D13,1,5,2,0,3
D13,2,6,3,1,2
D13,3,4,3,0,2
D13,4,4,3,0,3
D13,5,4,3,0,1
D13,6,3,3,0,3
D13,7,8,6,1,2
D13,8,8,5,2,6
D13,9,5,4,4,8
D13,10,8,2,4,7
D13,11,8,7,2,8
D13,12,9,8,2,6
D13,13,8,5,3,9
D14,1,8,2,1,3
D14,2,4,2,0,1
D14,3,7,2,0,2
D14,4,7,3,1,2
D14,5,8,5,0,3
D14,6,4,4,0,1
D14,7,6,2,1,2
D14,8,7,2,1,2
D14,9,9,2,0,2
D14,10,9,7,1,3
D14,11,3,3,1,3
D14,12,4,4,1,3
D14,13,7,6,0,1
D15,1,4,3,1,1
D15,2,8,2,1,2
D15,3,3,2,0,3
D15,4,7,2,0,1
D15,5,7,6,0,3
D15,6,7,7,1,2
D15,7,9,8,1,3
D15,8,8,2,2,7
D15,9,8,2,4,7
D15,10,3,3,3,4
D15,11,6,5,4,7
D15,12,4,2,3,4
D15,13,6,3,2,4
D16,1,9,4,0,1
D16,2,5,5,0,2
D16,3,6,5,1,2
D16,4,8,4,1,3
D16,5,4,4,0,1
D16,6,4,4,1,3
D16,7,6,6,0,3
D16,8,4,2,1,1
D16,9,8,2,0,1
D16,10,6,2,1,1
D16,11,6,4,1,3
D16,12,9,5,1,1
D16,13,3,3,1,3
D17,1,9,4,0,3
D17,2,7,3,1,2
D17,3,9,3,1,2
D17,4,4,2,1,2
D17,5,9,6,1,1
D17,6,8,5,1,2
D17,7,6,6,1,3
D17,8,7,3,1,1
D17,9,4,2,1,3
D17,10,9,5,0,3
D17,11,3,3,0,2
D17,12,6,5,0,2
D17,13,7,5,0,3
D18,1,6,6,0,3
D18,2,5,4,0,1
D18,3,9,9,0,2
D18,4,9,2,0,1
D18,5,7,7,0,2
D18,6,3,3,1,3
D18,7,4,2,1,3
D18,8,4,2,2,8
D18,9,6,3,4,5
D18,10,5,2,2,5
D18,11,6,3,3,5
D18,12,5,3,3,6
D18,13,5,4,4,8
D19,1,3,2,1,3
D19,2,3,2,0,3
D19,3,5,4,1,2
D19,4,3,2,0,1
D19,5,6,5,0,1
D19,6,8,4,0,2
D19,7,3,3,1,1
D19,8,7,2,3,5
D19,9,7,5,2,6
D19,10,9,4,2,8
D19,11,4,3,3,5
D19,12,6,2,2,4
D19,13,6,6,3,6
D20,1,5,5,1,3
D20,2,8,7,0,2
D20,3,3,2,0,3
D20,4,6,5,1,3
D20,5,7,4,0,1
D20,6,4,4,1,3
D20,7,7,5,0,1
D20,8,7,4,0,3
D20,9,5,5,1,2
D20,10,7,7,0,3
D20,11,3,2,1,2
D20,12,3,3,0,1
D20,13,8,2,0,3
D21,1,3,3,1,3
D21,2,6,5,0,3
D21,3,9,9,0,3
D21,4,6,6,1,2
D21,5,6,5,1,3
D21,6,9,7,1,1
D21,7,8,8,0,2
D21,8,3,3,1,2
D21,9,9,6,1,2
D21,10,5,5,0,2
D21,11,5,5,0,3
D21,12,6,5,1,1
D21,13,3,3,1,1
D22,1,7,4,0,2
D22,2,8,3,0,1
D22,3,6,5,1,3
D22,4,8,6,1,1
D22,5,4,3,1,3
D22,6,7,6,1,2
D22,7,9,2,1,1
D22,8,5,2,3,6
D22,9,6,3,2,8
D22,10,8,2,3,8
D22,11,5,2,2,5
D22,12,9,8,3,7
D22,13,3,3,3,9
D23,1,8,4,0,2
D23,2,4,4,1,3
D23,3,6,6,0,3
D23,4,3,3,0,3
D23,5,6,4,0,2
D23,6,6,2,0,2
D23,7,5,2,0,3
D23,8,3,2,1,1
D23,9,6,4,1,2
D23,10,4,2,0,2
D23,11,5,5,1,1
D23,12,9,7,1,1
D23,13,8,5,1,3
D24,1,4,3,1,1
D24,2,9,8,0,1
D24,3,9,8,0,1
D24,4,3,2,0,3
D24,5,7,6,1,1
D24,6,4,2,0,3
D24,7,7,4,1,3
D24,8,3,2,2,4
D24,9,6,3,4,7
D24,10,7,7,3,5
D24,11,4,4,3,5
D24,12,9,5,3,6
D24,13,4,4,3,6
D25,1,4,4,1,2
D25,2,3,2,0,2
D25,3,7,7,1,1
D25,4,8,5,0,3
D25,5,8,2,0,3
D25,6,3,3,1,3
D25,7,9,8,1,2
D25,8,4,3,3,7
D25,9,3,3,3,9
D25,10,7,2,3,5
D25,11,5,3,4,8
D25,12,3,3,4,7
D25,13,6,2,4,7
D26,1,7,3,1,3
D26,2,8,8,0,1
D26,3,5,5,1,1
D26,4,4,3,1,2
D26,5,4,2,0,2
D26,6,6,6,0,2
D26,7,4,4,1,1
D26,8,6,6,4,9
D26,9,3,3,4,4
D26,10,4,2,4,6
D26,11,8,3,2,8
D26,12,9,7,2,8
D26,13,8,6,4,4
D27,1,4,4,1,1
D27,2,6,6,0,3
D27,3,8,8,0,3
D27,4,5,4,1,1
D27,5,8,6,1,3
D27,6,5,4,1,2
D27,7,9,8,1,2
D27,8,3,3,3,7
D27,9,8,7,3,7
D27,10,4,3,3,8
D27,11,6,2,2,9
D27,12,7,4,4,4
D27,13,8,4,2,4
D28,1,4,2,0,1
D28,2,5,5,0,3
D28,3,9,5,1,1
D28,4,4,2,0,3
D28,5,8,6,1,3
D28,6,5,5,1,1
D28,7,4,4,1,2
D28,8,8,5,3,5
D28,9,8,4,2,6
D28,10,3,2,2,6
D28,11,6,4,3,9
D28,12,8,5,3,7
D28,13,5,5,2,6
D29,1,9,5,1,3
D29,2,4,3,1,3
D29,3,3,2,0,3
D29,4,4,2,1,2
D29,5,3,2,0,1
D29,6,7,7,1,2
D29,7,3,2,1,2
D29,8,5,3,1,1
D29,9,8,8,0,2
D29,10,8,5,1,2
D29,11,4,2,0,2
D29,12,3,2,0,3
D29,13,9,8,0,1
D30,1,7,6,1,2
D30,2,5,4,1,1
D30,3,5,4,0,1
D30,4,9,5,1,2
D30,5,4,4,0,1
D30,6,7,6,1,3
D30,7,6,3,0,1
D30,8,3,2,0,2
D30,9,5,4,1,2
D30,10,6,3,0,1
D30,11,9,5,1,2
D30,12,8,6,0,2
D30,13,9,3,0,1
D31,1,7,3,0,2
D31,2,6,6,1,3
D31,3,3,3,1,3
D31,4,6,5,0,2
D31,5,4,2,1,2
D31,6,4,3,1,3
D31,7,9,6,0,3
D31,8,9,8,4,5
D31,9,6,3,3,4
D31,10,7,4,2,7
D31,11,9,8,3,7
D31,12,7,2,2,4
D31,13,6,3,2,8
D32,1,4,2,0,1
D32,2,8,2,1,3
D32,3,8,3,1,3
D32,4,6,6,1,3
D32,5,9,2,0,3
D32,6,3,2,0,3
D32,7,3,2,1,3
D32,8,6,5,0,1
D32,9,4,3,1,2
D32,10,4,4,1,1
D32,11,8,7,1,2
D32,12,9,9,0,2
D32,13,7,5,1,1
D33,1,7,6,0,1
D33,2,6,2,0,3
D33,3,4,4,0,3
D33,4,5,4,0,1
D33,5,7,4,0,3
D33,6,7,6,1,1
D33,7,4,4,1,2
D33,8,6,6,0,1
D33,9,6,5,0,3
D33,10,4,4,1,2
D33,11,9,2,0,2
D33,12,3,2,1,1
D33,13,4,2,1,1
D34,1,8,8,0,2
D34,2,3,3,0,3
D34,3,5,2,1,2
D34,4,3,2,1,1
D34,5,6,5,1,1
D34,6,3,2,1,2
D34,7,4,4,1,1
D34,8,9,7,1,1
D34,9,6,4,0,1
D34,10,7,4,1,1
D34,11,3,2,0,2
D34,12,6,6,1,3
D34,13,9,6,0,3
D35,1,5,4,1,3
D35,2,9,8,0,1
D35,3,7,7,0,2
D35,4,9,9,1,2
D35,5,4,3,0,2
D35,6,3,3,1,3
D35,7,8,7,0,2
D35,8,3,3,3,8
D35,9,3,3,3,5
D35,10,7,6,4,7
D35,11,5,4,3,7
D35,12,8,5,4,5
D35,13,4,4,4,7
D36,1,4,3,0,2
D36,2,5,5,1,3
D36,3,7,6,1,2
D36,4,7,5,0,1
D36,5,3,2,1,3
D36,6,3,2,0,2
D36,7,3,2,1,2
D36,8,8,8,2,7
D36,9,9,8,4,6
D36,10,5,4,2,5
D36,11,8,4,2,7
D36,12,6,3,2,6
D36,13,9,7,4,6
D37,1,9,9,1,1
D37,2,3,3,0,1
D37,3,6,4,0,3
D37,4,6,6,1,2
D37,5,8,4,0,3
D37,6,7,3,1,1
D37,7,3,2,0,1
D37,8,3,3,1,3
D37,9,4,3,1,3
D37,10,5,4,0,1
D37,11,9,4,0,2
D37,12,3,3,0,3
D37,13,8,4,1,3
D38,1,7,3,1,1
D38,2,3,3,1,1
D38,3,6,2,0,2
D38,4,8,3,0,3
D38,5,6,2,0,2
D38,6,4,4,0,2
D38,7,7,3,1,1
D38,8,6,6,1,3
D38,9,5,3,1,3
D38,10,4,2,0,1
D38,11,3,2,0,2
D38,12,7,4,0,1
D38,13,8,2,0,1
D39,1,6,4,1,1
D39,2,8,4,0,3
D39,3,6,6,0,1
D39,4,4,4,0,1
D39,5,7,7,1,3
D39,6,7,4,1,2
D39,7,6,4,0,2
D39,8,3,2,1,2
D39,9,3,3,0,2
D39,10,3,2,0,2
D39,11,9,9,0,2
D39,12,3,3,1,2
D39,13,7,3,0,3
D40,1,4,2,0,3
D40,2,6,3,1,2
D40,3,7,3,0,2
D40,4,9,4,1,3
D40,5,5,3,0,1
D40,6,5,2,1,3
D40,7,5,3,1,3
D40,8,4,3,0,1
D40,9,5,5,1,2
D40,10,4,2,1,3
D40,11,5,2,0,1
D40,12,5,5,0,2
D40,13,4,3,0,2
D41,1,6,5,1,3
D41,2,9,2,1,2
D41,3,3,2,0,2
D41,4,9,9,0,3
D41,5,4,3,1,1
D41,6,3,3,1,3
D41,7,4,4,0,2
D41,8,5,5,0,2
D41,9,5,5,1,2
D41,10,4,4,0,2
D41,11,3,2,1,2
D41,12,6,5,0,2
D41,13,8,3,1,2
D42,1,9,3,1,3
D42,2,4,2,0,2
D42,3,7,5,0,1
D42,4,5,4,1,2
D42,5,3,3,1,1
D42,6,6,5,1,3
D42,7,7,5,1,1
D42,8,5,5,1,1
D42,9,7,4,0,3
D42,10,8,4,1,1
D42,11,3,2,1,3
D42,12,8,7,0,3
D42,13,5,5,0,2
D43,1,9,5,0,3
D43,2,8,3,0,2
D43,3,6,5,1,2
D43,4,9,7,1,1
D43,5,4,2,0,1
D43,6,7,4,1,1
D43,7,4,2,0,3
D43,8,8,2,1,3
D43,9,8,8,0,3
D43,10,4,3,0,3
D43,11,5,2,1,1
D43,12,3,3,1,1
D43,13,4,3,1,3
D44,1,3,3,1,2
D44,2,7,4,1,2
D44,3,8,8,0,3
D44,4,4,2,1,1
D44,5,3,3,1,3
D44,6,3,2,0,1
D44,7,3,3,1,3
D44,8,6,4,1,1
D44,9,5,4,0,1
D44,10,4,4,0,1
D44,11,7,6,1,1
D44,12,4,4,0,2
D44,13,8,6,0,2
D45,1,7,5,0,1
D45,2,9,5,0,1
D45,3,6,4,1,3
D45,4,6,5,0,3
D45,5,3,2,1,2
D45,6,8,6,1,2
D45,7,9,6,0,1
D45,8,5,4,4,4
D45,9,4,4,4,9
D45,10,3,3,3,8
D45,11,8,7,2,8
D45,12,4,3,4,9
D45,13,7,2,2,4
D46,1,7,2,1,2
D46,2,4,3,1,3
D46,3,8,3,1,1
D46,4,4,3,1,2
D46,5,7,2,1,2
D46,6,8,3,0,2
D46,7,6,5,0,2
D46,8,6,4,0,3
D46,9,6,4,0,3
D46,10,5,4,1,2
D46,11,7,4,0,2
D46,12,3,2,1,3
D46,13,9,6,0,1
D47,1,7,3,0,3
D47,2,4,2,1,1
D47,3,5,4,1,1
D47,4,3,3,0,1
D47,5,6,5,0,3
D47,6,7,3,1,3
D47,7,7,5,1,2
D47,8,5,2,1,1
D47,9,8,4,1,1
D47,10,9,8,1,3
D47,11,9,4,0,2
D47,12,7,7,1,3
D47,13,3,3,1,2
D48,1,4,4,0,3
D48,2,5,4,1,1
D48,3,5,2,1,1
D48,4,6,3,0,3
D48,5,8,8,0,2
D48,6,8,8,0,1
D48,7,4,3,1,1
D48,8,9,4,4,9
D48,9,4,2,2,7
D48,10,6,6,2,5
D48,11,6,4,4,6
D48,12,5,2,3,5
D48,13,5,4,2,9
D49,1,4,4,1,3
D49,2,8,3,1,3
D49,3,8,6,1,1
D49,4,9,4,1,1
D49,5,9,8,1,1
D49,6,4,4,1,1
D49,7,9,7,0,3
D49,8,9,7,1,2
D49,9,3,2,1,3
D49,10,3,3,0,3
D49,11,9,8,1,2
D49,12,4,3,1,1
D49,13,7,4,0,3
D50,1,5,5,1,2
D50,2,9,2,1,2
D50,3,5,3,1,1
D50,4,5,4,0,3
D50,5,7,5,1,2
D50,6,9,3,1,1
D50,7,8,3,1,3
D50,8,3,2,2,6
D50,9,7,5,2,9
D50,10,9,6,2,6
D50,11,5,3,2,6
D50,12,4,3,3,6
D50,13,5,4,4,4
D51,1,4,4,1,1
D51,2,8,4,0,2
D51,3,9,5,0,2
D51,4,8,7,0,1
D51,5,3,2,0,2
D51,6,3,3,1,3
D51,7,4,4,0,3
D51,8,9,7,0,3
D51,9,6,3,1,3
D51,10,6,6,0,3
D51,11,8,2,0,3
D51,12,6,4,0,3
D51,13,5,4,1,3
D52,1,4,3,1,2
D52,2,9,3,0,1
D52,3,7,5,0,1
D52,4,7,2,1,2
D52,5,8,4,1,2
D52,6,7,3,1,3
D52,7,9,7,1,1
D52,8,4,4,0,1
D52,9,9,5,0,2
D52,10,7,7,0,1
D52,11,6,6,0,3
D52,12,8,7,1,3
D52,13,6,2,0,2
D53,1,4,4,0,2
D53,2,7,7,0,1
D53,3,9,3,1,1
D53,4,6,6,1,2
D53,5,8,3,1,1
D53,6,6,5,0,1
D53,7,3,2,1,1
D53,8,5,5,1,2
D53,9,6,3,1,3
D53,10,8,4,1,2
D53,11,4,2,0,3
D53,12,3,2,1,2
D53,13,6,4,0,3
D54,1,3,3,1,2
D54,2,6,6,0,1
D54,3,4,4,1,3
D54,4,7,6,1,2
D54,5,9,2,1,1
D54,6,9,7,1,2
D54,7,4,3,0,2
D54,8,4,3,3,4
D54,9,6,3,4,7
D54,10,6,4,3,5
D54,11,8,6,3,8
D54,12,3,3,4,4
D54,13,6,5,2,9
D55,1,4,4,0,2
D55,2,7,6,1,2
D55,3,9,3,1,1
D55,4,7,5,1,1
D55,5,7,6,1,2
D55,6,6,6,0,1
D55,7,9,5,0,3
D55,8,9,9,4,7
D55,9,6,5,3,5
D55,10,3,2,4,8
D55,11,6,6,2,5
D55,12,8,6,3,9
D55,13,8,7,3,9
D56,1,5,3,1,2
D56,2,5,4,1,3
D56,3,9,2,0,2
D56,4,3,3,1,1
D56,5,6,3,1,2
D56,6,8,5,0,3
D56,7,5,5,0,2
D56,8,6,5,3,8
D56,9,3,2,3,7
D56,10,7,4,2,9
D56,11,4,4,3,8
D56,12,6,2,3,8
D56,13,9,3,4,8
D57,1,7,7,0,3
D57,2,4,3,0,1
D57,3,4,2,1,2
D57,4,3,2,1,2
D57,5,8,4,1,2
D57,6,9,3,0,1
D57,7,6,3,1,3
D57,8,4,2,1,2
D57,9,6,2,0,3
D57,10,6,6,0,1
D57,11,6,3,1,3
D57,12,4,2,0,2
D57,13,6,4,1,3
D58,1,3,3,1,3
D58,2,8,8,1,1
D58,3,8,8,1,2
D58,4,8,4,1,1
D58,5,4,2,0,1
D58,6,8,7,1,2
D58,7,7,6,1,2
D58,8,7,3,0,2
D58,9,9,5,1,2
D58,10,3,2,1,2
D58,11,3,2,1,3
D58,12,9,5,1,2
D58,13,3,3,0,2
D59,1,4,3,0,2
D59,2,6,2,1,1
D59,3,9,4,0,1
D59,4,3,2,0,1
D59,5,9,6,1,3
D59,6,7,7,0,1
D59,7,8,6,1,3
D59,8,9,3,3,8
D59,9,3,2,3,6
D59,10,5,4,3,6
D59,11,5,3,4,8
D59,12,4,4,3,5
D59,13,5,4,3,8
D60,1,8,3,0,3
D60,2,8,4,0,2
D60,3,4,2,0,1
D60,4,3,3,1,3
D60,5,3,3,0,3
D60,6,4,2,1,1
D60,7,6,2,0,1
D60,8,5,5,1,1
D60,9,5,4,0,1
D60,10,6,5,1,1
D60,11,5,2,1,1
D60,12,8,6,1,3
D60,13,3,2,1,1
D61,1,9,5,1,2
D61,2,9,6,1,1
D61,3,7,3,0,1
D61,4,5,3,1,1
D61,5,7,6,1,3
D61,6,4,3,0,1
D61,7,7,7,0,1
D61,8,3,3,0,2
D61,9,8,8,1,3
D61,10,9,6,1,1
D61,11,9,6,1,2
D61,12,9,3,0,1
D61,13,8,4,0,3
D62,1,3,2,1,3
D62,2,6,3,0,1
D62,3,8,7,0,3
D62,4,4,4,0,1
D62,5,7,5,0,3
D62,6,3,2,0,2
D62,7,6,5,1,2
D62,8,9,4,3,8
D62,9,3,2,3,4
D62,10,5,4,2,9
D62,11,5,3,2,8
D62,12,4,2,3,8
D62,13,4,4,3,4
D63,1,7,7,1,1
D63,2,7,6,1,1
D63,3,8,2,1,3
D63,4,5,4,1,3
D63,5,3,3,0,3
D63,6,5,5,1,2
D63,7,9,3,0,1
D63,8,7,4,3,7
D63,9,3,3,4,4
D63,10,7,4,4,6
D63,11,3,3,2,8
D63,12,6,5,4,4
D63,13,5,2,2,9
D64,1,4,3,0,2
D64,2,7,5,0,3
D64,3,4,2,1,3
D64,4,3,2,1,1
D64,5,5,2,0,1
D64,6,6,2,0,3
D64,7,6,5,0,1
D64,8,9,2,3,5
D64,9,8,6,3,9
D64,10,7,7,2,9
D64,11,9,4,3,4
D64,12,5,3,2,8
D64,13,7,2,4,8
D65,1,9,7,1,2
D65,2,3,3,1,1
D65,3,8,4,1,1
D65,4,8,2,1,2
D65,5,6,3,1,2
D65,6,4,3,0,3
D65,7,6,6,1,3
D65,8,5,2,1,3
D65,9,5,5,0,1
D65,10,6,6,0,1
D65,11,6,3,1,3
D65,12,9,5,1,3
D65,13,7,7,0,3
D66,1,3,3,0,3
D66,2,4,3,0,3
D66,3,7,7,0,2
D66,4,5,4,1,2
D66,5,6,2,1,3
D66,6,7,5,1,1
D66,7,3,2,0,3
D66,8,5,2,2,7
D66,9,8,3,2,4
D66,10,5,3,4,9
D66,11,7,5,3,9
D66,12,9,5,3,8
D66,13,7,3,4,8
D67,1,7,5,1,1
D67,2,5,2,1,2
D67,3,5,2,0,1
D67,4,5,4,1,3
D67,5,7,4,0,2
D67,6,6,4,0,1
D67,7,3,3,1,2
D67,8,7,6,0,1
D67,9,9,3,0,3
D67,10,4,3,0,2
D67,11,5,4,0,3
D67,12,6,5,0,1
D67,13,8,5,1,1
D68,1,8,6,1,1
D68,2,5,2,0,3
D68,3,7,3,0,1
D68,4,4,2,1,1
D68,5,9,8,0,3
D68,6,6,3,0,2
D68,7,8,4,1,1
D68,8,8,5,0,2
D68,9,5,2,0,3
D68,10,9,5,0,3
D68,11,5,5,1,3
D68,12,6,3,1,3
D68,13,7,6,0,1
D69,1,4,4,1,3
D69,2,4,4,1,3
D69,3,7,7,1,1
D69,4,9,9,1,3
D69,5,4,3,1,1
D69,6,9,6,1,2
D69,7,6,4,0,1
D69,8,4,4,0,3
D69,9,8,3,0,2
D69,10,8,5,0,3
D69,11,4,4,0,2
D69,12,8,6,0,2
D69,13,7,5,0,3
D70,1,7,6,0,1
D70,2,6,2,0,3
D70,3,4,2,1,3
D70,4,3,3,0,1
D70,5,5,4,1,3
D70,6,6,5,1,2
D70,7,8,5,1,3
D70,8,4,3,1,3
D70,9,7,5,1,1
D70,10,9,7,0,3
D70,11,4,4,1,3
D70,12,6,5,1,2
D70,13,8,2,0,3
D71,1,9,2,1,3
D71,2,7,4,1,3
D71,3,9,4,1,3
D71,4,4,4,1,1
D71,5,7,5,1,2
D71,6,6,6,1,1
D71,7,9,2,0,1
D71,8,6,2,3,5
D71,9,6,6,3,6
D71,10,7,7,2,8
D71,11,5,4,3,9
D71,12,9,7,3,8
D71,13,5,5,3,7
D72,1,8,6,1,1
D72,2,5,2,1,2
D72,3,7,3,0,1
D72,4,8,2,0,2
D72,5,6,5,0,2
D72,6,9,6,0,1
D72,7,8,5,1,2
D72,8,3,2,1,1
D72,9,7,7,0,1
D72,10,9,6,1,3
D72,11,4,4,1,1
D72,12,9,4,0,1
D72,13,5,2,1,3
D73,1,5,2,1,2
D73,2,8,6,1,1
D73,3,6,3,0,3
D73,4,7,2,0,1
D73,5,3,3,1,2
D73,6,8,8,0,2
D73,7,3,2,0,2
D73,8,3,3,0,3
D73,9,4,4,0,2
D73,10,7,2,0,1
D73,11,4,3,0,1
D73,12,7,5,1,2
D73,13,8,3,1,3
D74,1,4,3,0,1
D74,2,8,3,0,3
D74,3,9,5,0,1
D74,4,8,8,0,3
D74,5,4,2,0,3
D74,6,7,5,0,2
D74,7,4,4,0,2
D74,8,7,2,3,4
D74,9,9,6,3,4
D74,10,4,3,4,9
D74,11,5,2,3,4
D74,12,6,5,4,4
D74,13,3,2,3,8
D75,1,3,2,0,1
D75,2,9,7,1,1
D75,3,9,8,0,1
D75,4,8,2,0,1
D75,5,3,2,0,3
D75,6,9,6,1,2
D75,7,9,2,1,1
D75,8,5,2,2,4
D75,9,4,4,3,5
D75,10,5,2,2,5
D75,11,9,8,4,7
D75,12,4,2,4,4
D75,13,9,4,2,6
D76,1,5,2,1,3
D76,2,6,5,1,3
D76,3,7,3,0,1
D76,4,5,4,0,1
D76,5,4,3,0,2
D76,6,4,3,1,2
D76,7,6,3,1,3
D76,8,7,5,4,6
D76,9,3,3,4,5
D76,10,3,2,4,8
D76,11,4,2,2,9
D76,12,8,2,3,6
D76,13,5,4,2,4
D77,1,9,4,1,1
D77,2,6,4,1,2
D77,3,8,5,1,3
D77,4,8,8,0,2
D77,5,5,5,0,2
D77,6,9,7,0,3
D77,7,7,5,0,3
D77,8,6,5,1,3
D77,9,5,4,0,2
D77,10,8,5,1,1
D77,11,5,5,1,3
D77,12,4,3,0,2
D77,13,3,3,0,1
D78,1,3,3,0,3
D78,2,3,3,0,3
D78,3,6,4,0,2
D78,4,6,2,1,2
D78,5,3,3,0,1
D78,6,7,3,1,1
D78,7,7,7,1,1
D78,8,3,3,0,3
D78,9,3,3,0,3
D78,10,5,5,1,2
D78,11,7,3,0,1
D78,12,6,2,1,1
D78,13,8,2,0,2
D79,1,6,4,0,2
D79,2,5,2,0,3
D79,3,4,4,1,3
D79,4,5,2,0,3
D79,5,7,2,0,3
D79,6,7,4,0,3
D79,7,4,3,1,2
D79,8,6,4,1,3
D79,9,3,2,1,1
D79,10,6,2,0,3
D79,11,3,2,0,2
D79,12,4,4,0,3
D79,13,9,3,0,3
D80,1,8,3,1,1
D80,2,9,9,1,2
D80,3,8,2,1,2
D80,4,9,4,1,3
D80,5,9,7,0,2
D80,6,6,5,1,1
D80,7,4,4,1,1
D80,8,7,4,1,1
D80,9,8,2,1,3
D80,10,6,6,1,1
D80,11,8,2,1,2
D80,12,7,5,0,3
D80,13,9,5,0,3
D81,1,6,5,1,3
D81,2,9,2,1,1
D81,3,6,5,1,3
D81,4,7,6,1,3
D81,5,3,3,1,2
D81,6,7,5,0,1
D81,7,5,4,0,2
D81,8,4,3,1,1
D81,9,9,7,1,1
D81,10,8,2,1,2
D81,11,5,3,1,1
D81,12,9,3,0,3
D81,13,7,6,0,3
D82,1,5,4,1,1
D82,2,6,4,1,2
D82,3,9,9,1,1
D82,4,6,4,1,1
D82,5,3,2,1,2
D82,6,8,5,1,2
D82,7,7,7,0,3
D82,8,6,6,4,9
D82,9,5,3,2,5
D82,10,5,2,2,8
D82,11,5,4,3,4
D82,12,8,5,3,8
D82,13,3,3,3,7
D83,1,3,3,1,1
D83,2,3,3,0,3
D83,3,8,2,0,2
D83,4,4,3,1,3
D83,5,3,2,1,1
