dev_id,date,messages_sent,avg_response_hours
D03,2025-11-03,6,1.65
D03,2025-11-04,14,2.77
D03,2025-11-05,14,3.0
D03,2025-11-06,11,1.05
D03,2025-11-07,9,3.51
D03,2025-11-08,9,2.99
D03,2025-11-09,13,3.99
D03,2025-11-10,14,2.7
D03,2025-11-11,11,2.89
D03,2025-11-12,12,2.25
D03,2025-11-13,10,2.63
D03,2025-11-14,11,2.63
D03,2025-11-15,6,3.0
D03,2025-11-16,6,1.56
D03,2025-11-17,12,3.4
D03,2025-11-18,14,1.02
D03,2025-11-19,11,1.08
D03,2025-11-20,7,2.79
D03,2025-11-21,7,2.13
D03,2025-11-22,5,2.38
D03,2025-11-23,11,1.51
D03,2025-11-24,8,2.57
D03,2025-11-25,9,3.58
D03,2025-11-26,4,2.86
D03,2025-11-27,13,1.31
D03,2025-11-28,4,3.53
D03,2025-11-29,14,2.89
D03,2025-11-30,6,2.3
D03,2025-12-01,0,10.16
D03,2025-12-02,1,11.67
D03,2025-12-03,2,8.37
D03,2025-12-04,2,6.24
D03,2025-12-05,2,9.3
D03,2025-12-06,1,7.02
D03,2025-12-07,2,11.79
D03,2025-12-08,1,8.09
D03,2025-12-09,0,11.86
D03,2025-12-10,0,8.51
D03,2025-12-11,0,9.37
D03,2025-12-12,1,11.82
D03,2025-12-13,0,6.81
D03,2025-12-14,1,8.39
D03,2025-12-15,0,8.12
D03,2025-12-16,1,11.74
D03,2025-12-17,1,9.77
D03,2025-12-18,1,10.22
D03,2025-12-19,0,9.02
D03,2025-12-20,1,9.61
D03,2025-12-21,0,9.49
D03,2025-12-22,0,6.32
D03,2025-12-23,0,8.29
D03,2025-12-24,1,8.08
D03,2025-12-25,1,7.51
D03,2025-12-26,2,6.17
D03,2025-12-27,0,9.5
D03,2025-12-28,2,7.63
D03,2025-12-29,1,7.45
D03,2025-12-30,0,8.16
D03,2025-12-31,1,6.82
D03,2026-01-01,1,8.59
D03,2026-01-02,2,11.22
D03,2026-01-03,0,9.49
D03,2026-01-04,2,11.19
D03,2026-01-05,1,7.21
D03,2026-01-06,0,11.27
D03,2026-01-07,2,6.57
D03,2026-01-08,1,11.77
D04,2025-10-11,6,2.73
D04,2025-10-12,13,3.13
D04,2025-10-13,14,2.5
D04,2025-10-14,5,2.75
D04,2025-10-15,14,3.89
D04,2025-10-16,11,1.7
D04,2025-10-17,12,2.95
D04,2025-10-18,9,2.99
D04,2025-10-19,5,3.83
D04,2025-10-20,9,1.64
D04,2025-10-21,7,1.47
D04,2025-10-22,4,2.99
D04,2025-10-23,13,1.57
D04,2025-10-24,10,1.04
D04,2025-10-25,13,1.11
D04,2025-10-26,5,2.7
D04,2025-10-27,5,3.03
D04,2025-10-28,14,2.83
D04,2025-10-29,14,2.04
D04,2025-10-30,13,3.02
D04,2025-10-31,7,3.13
D04,2025-11-01,6,1.64
D04,2025-11-02,7,3.17
D04,2025-11-03,4,2.91
D04,2025-11-04,14,3.21
D04,2025-11-05,10,1.52
D04,2025-11-06,9,2.1
D04,2025-11-07,6,1.89
D04,2025-11-08,12,2.58
D04,2025-11-09,14,1.38
D04,2025-11-10,5,3.81
D04,2025-11-11,5,2.71
D04,2025-11-12,5,1.14
D04,2025-11-13,10,3.82
D04,2025-11-14,9,3.46
D04,2025-11-15,14,2.98
D04,2025-11-16,13,2.2
D04,2025-11-17,9,2.58
D04,2025-11-18,4,2.71
D04,2025-11-19,6,1.7
D04,2025-11-20,11,1.05
D04,2025-11-21,14,3.08
D04,2025-11-22,8,2.29
D04,2025-11-23,12,1.58
D04,2025-11-24,5,2.35
D04,2025-11-25,4,3.55
D04,2025-11-26,10,2.25
D04,2025-11-27,8,3.19
D04,2025-11-28,10,2.61
D04,2025-11-29,11,1.82
D04,2025-11-30,5,3.84
D04,2025-12-01,7,1.3
D04,2025-12-02,12,2.82
D04,2025-12-03,5,2.94
D04,2025-12-04,10,1.51
D04,2025-12-05,12,1.38
D04,2025-12-06,11,2.72
D04,2025-12-07,4,1.53
D04,2025-12-08,4,2.61
D04,2025-12-09,5,3.72
D04,2025-12-10,14,3.53
D04,2025-12-11,12,1.24
D04,2025-12-12,14,2.44
D04,2025-12-13,9,2.89
D04,2025-12-14,12,2.29
D04,2025-12-15,4,2.76
D04,2025-12-16,12,3.48
D04,2025-12-17,12,2.65
D04,2025-12-18,12,3.42
D04,2025-12-19,9,3.29
D04,2025-12-20,8,1.22
D04,2025-12-21,14,2.09
D04,2025-12-22,13,2.46
D04,2025-12-23,8,1.56
D04,2025-12-24,12,1.19
D04,2025-12-25,8,3.09
D04,2025-12-26,13,2.85
D04,2025-12-27,9,1.92
D04,2025-12-28,7,2.35
D04,2025-12-29,4,3.31
D04,2025-12-30,6,2.38
D04,2025-12-31,10,1.07
D04,2026-01-01,6,2.74
D04,2026-01-02,8,3.39
D04,2026-01-03,6,2.91
D04,2026-01-04,13,3.41
D04,2026-01-05,5,2.59
D04,2026-01-06,13,3.8
D04,2026-01-07,11,3.11
D04,2026-01-08,5,2.22
D05,2025-10-11,9,3.56
D05,2025-10-12,8,2.58
D05,2025-10-13,10,2.39
D05,2025-10-14,13,3.17
D05,2025-10-15,13,1.47
D05,2025-10-16,5,2.94
D05,2025-10-17,13,3.73
D05,2025-10-18,9,2.4
D05,2025-10-19,5,1.89
D05,2025-10-20,5,3.78
D05,2025-10-21,6,1.01
D05,2025-10-22,13,3.59
D05,2025-10-23,12,3.56
D05,2025-10-24,7,3.96
D05,2025-10-25,14,1.53
D05,2025-10-26,12,3.11
D05,2025-10-27,5,3.57
D05,2025-10-28,11,1.29
D05,2025-10-29,7,3.9
D05,2025-10-30,9,3.97
D05,2025-10-31,7,1.97
D05,2025-11-01,5,3.57
D05,2025-11-02,5,1.65
D05,2025-11-03,8,1.59
D05,2025-11-04,14,3.36
D05,2025-11-05,13,3.08
D05,2025-11-06,10,1.4
D05,2025-11-07,7,2.59
D05,2025-11-08,14,1.6
D05,2025-11-09,10,2.73
D05,2025-11-10,13,2.37
D05,2025-11-11,5,3.11
D05,2025-11-12,14,1.51
D05,2025-11-13,14,1.93
D05,2025-11-14,4,3.16
D05,2025-11-15,6,1.79
D05,2025-11-16,6,3.59
D05,2025-11-17,13,3.43
D05,2025-11-18,13,1.28
D05,2025-11-19,6,1.66
D05,2025-11-20,5,3.21
D05,2025-11-21,13,3.38
D05,2025-11-22,14,1.64
D05,2025-11-23,13,1.14
D05,2025-11-24,11,2.34
D05,2025-11-25,7,1.17
D05,2025-11-26,11,1.71
D05,2025-11-27,9,3.22
D05,2025-11-28,5,3.42
D05,2025-11-29,12,1.35
D05,2025-11-30,6,1.57
D05,2025-12-01,0,9.03
D05,2025-12-02,1,7.13
D05,2025-12-03,0,8.87
D05,2025-12-04,2,9.0
D05,2025-12-05,2,10.92
D05,2025-12-06,2,7.81
D05,2025-12-07,0,7.6
D05,2025-12-08,2,7.69
D05,2025-12-09,1,11.57
D05,2025-12-10,1,10.58
D05,2025-12-11,2,6.85
D05,2025-12-12,0,9.63
D05,2025-12-13,0,11.81
D05,2025-12-14,0,11.03
D05,2025-12-15,1,6.3
D05,2025-12-16,2,9.27
D05,2025-12-17,0,6.95
D05,2025-12-18,2,9.23
D05,2025-12-19,2,9.82
D05,2025-12-20,2,9.3
D05,2025-12-21,0,11.83
D05,2025-12-22,1,7.76
D05,2025-12-23,0,9.14
D05,2025-12-24,1,8.81
D05,2025-12-25,2,6.5
D05,2025-12-26,1,10.86
D05,2025-12-27,0,11.33
D05,2025-12-28,1,10.47
D05,2025-12-29,2,7.47
D05,2025-12-30,2,11.42
D05,2025-12-31,0,10.48
D05,2026-01-01,0,7.01
D05,2026-01-02,1,10.57
D05,2026-01-03,1,7.26
D05,2026-01-04,2,7.98
D05,2026-01-05,2,7.32
D05,2026-01-06,2,9.58
D05,2026-01-07,1,10.75
D05,2026-01-08,2,6.9
D06,2025-10-11,7,2.24
D06,2025-10-12,7,3.13
D06,2025-10-13,6,2.83
D06,2025-10-14,8,3.45
D06,2025-10-15,12,1.32
D06,2025-10-16,4,1.28
D06,2025-10-17,12,1.12
D06,2025-10-18,8,2.55
D06,2025-10-19,4,3.1
D06,2025-10-20,11,1.92
D06,2025-10-21,14,2.01
D06,2025-10-22,13,3.18
D06,2025-10-23,6,3.74
D06,2025-10-24,14,1.45
D06,2025-10-25,5,1.72
D06,2025-10-26,7,3.48
D06,2025-10-27,10,2.47
D06,2025-10-28,9,2.48
D06,2025-10-29,14,2.97
D06,2025-10-30,6,2.53
D06,2025-10-31,9,3.12
D06,2025-11-01,4,3.66
D06,2025-11-02,14,1.96
D06,2025-11-03,7,3.98
D06,2025-11-04,4,1.18
D06,2025-11-05,12,1.78
D06,2025-11-06,14,3.87
D06,2025-11-07,11,1.64
D06,2025-11-08,13,3.67
D06,2025-11-09,4,1.83
D06,2025-11-10,7,1.73
D06,2025-11-11,5,2.57
D06,2025-11-12,6,1.56
D06,2025-11-13,8,3.7
D06,2025-11-14,14,1.7
D06,2025-11-15,9,1.18
D06,2025-11-16,7,2.73
D06,2025-11-17,9,2.85
D06,2025-11-18,9,1.15
D06,2025-11-19,5,2.68
D06,2025-11-20,6,3.06
D06,2025-11-21,10,3.6
D06,2025-11-22,14,1.28
D06,2025-11-23,13,3.94
D06,2025-11-24,14,3.99
D06,2025-11-25,7,2.2
D06,2025-11-26,9,2.1
D06,2025-11-27,5,1.09
D06,2025-11-28,6,1.67
D06,2025-11-29,6,3.94
D06,2025-11-30,13,3.95
D06,2025-12-01,2,11.75
D06,2025-12-02,0,6.77
D06,2025-12-03,2,9.67
D06,2025-12-04,0,9.41
D06,2025-12-05,2,8.08
D06,2025-12-06,1,10.48
D06,2025-12-07,1,7.82
D06,2025-12-08,1,6.53
D06,2025-12-09,0,11.1
D06,2025-12-10,1,11.95
D06,2025-12-11,0,8.96
D06,2025-12-12,1,10.23
D06,2025-12-13,1,7.53
D06,2025-12-14,0,11.31
D06,2025-12-15,1,11.63
D06,2025-12-16,1,11.59
D06,2025-12-17,1,10.03
D06,2025-12-18,2,8.72
D06,2025-12-19,0,6.46
D06,2025-12-20,2,7.92
D06,2025-12-21,2,8.07
D06,2025-12-22,0,7.84
D06,2025-12-23,2,11.31
D06,2025-12-24,1,6.77
D06,2025-12-25,2,8.82
D06,2025-12-26,2,8.87
D06,2025-12-27,1,6.07
D06,2025-12-28,2,9.94
D06,2025-12-29,0,8.3
D06,2025-12-30,0,10.6
D06,2025-12-31,1,7.74
D06,2026-01-01,2,11.78
D06,2026-01-02,1,7.53
D06,2026-01-03,2,9.63
D06,2026-01-04,2,8.01
D06,2026-01-05,1,6.22
D06,2026-01-06,1,6.77
D06,2026-01-07,2,11.73
D06,2026-01-08,2,7.29
D07,2025-10-11,4,2.14
D07,2025-10-12,14,2.81
D07,2025-10-13,10,2.73
D07,2025-10-14,12,2.82
D07,2025-10-15,8,1.21
D07,2025-10-16,6,3.44
D07,2025-10-17,10,1.85
D07,2025-10-18,9,1.9
D07,2025-10-19,10,1.53
D07,2025-10-20,8,2.76
D07,2025-10-21,9,3.08
D07,2025-10-22,14,3.06
D07,2025-10-23,13,1.98
D07,2025-10-24,4,1.96
D07,2025-10-25,4,3.65
D07,2025-10-26,8,3.83
D07,2025-10-27,11,2.92
D07,2025-10-28,7,1.15
D07,2025-10-29,14,2.06
D07,2025-10-30,6,3.96
D07,2025-10-31,4,1.79
D07,2025-11-01,10,3.0
D07,2025-11-02,11,1.26
D07,2025-11-03,8,3.38
D07,2025-11-04,14,2.92
D07,2025-11-05,11,3.33
D07,2025-11-06,4,2.55
D07,2025-11-07,9,1.83
D07,2025-11-08,5,3.15
D07,2025-11-09,14,1.39
D07,2025-11-10,11,3.28
D07,2025-11-11,9,3.29
D07,2025-11-12,5,3.8
D07,2025-11-13,10,2.74
D07,2025-11-14,12,3.87
D07,2025-11-15,12,2.81
D07,2025-11-16,11,2.39
D07,2025-11-17,8,3.07
D07,2025-11-18,14,1.35
D07,2025-11-19,6,1.63
D07,2025-11-20,14,3.48
D07,2025-11-21,14,2.5
D07,2025-11-22,9,3.61
D07,2025-11-23,9,3.94
D07,2025-11-24,10,3.22
D07,2025-11-25,4,1.06
D07,2025-11-26,4,1.67
D07,2025-11-27,9,2.87
D07,2025-11-28,11,1.05
D07,2025-11-29,14,1.58
D07,2025-11-30,7,1.18
D07,2025-12-01,1,7.92
D07,2025-12-02,1,10.34
D07,2025-12-03,2,8.34
D07,2025-12-04,1,8.57
D07,2025-12-05,2,7.28
D07,2025-12-06,0,11.82
D07,2025-12-07,1,7.3
D07,2025-12-08,0,9.94
D07,2025-12-09,1,11.48
D07,2025-12-10,2,11.06
D07,2025-12-11,0,10.54
D07,2025-12-12,2,11.43
D07,2025-12-13,2,7.02
D07,2025-12-14,2,9.16
D07,2025-12-15,0,6.69
D07,2025-12-16,2,7.28
D07,2025-12-17,2,9.22
D07,2025-12-18,1,9.26
D07,2025-12-19,2,7.38
D07,2025-12-20,1,6.38
D07,2025-12-21,1,8.1
D07,2025-12-22,0,9.72
D07,2025-12-23,2,7.67
D07,2025-12-24,2,11.8
D07,2025-12-25,2,6.88
D07,2025-12-26,1,9.53
D07,2025-12-27,0,6.06
D07,2025-12-28,2,8.54
D07,2025-12-29,1,11.98
D07,2025-12-30,1,7.94
D07,2025-12-31,1,10.95
D07,2026-01-01,0,6.68
D07,2026-01-02,2,9.3
D07,2026-01-03,2,10.0
D07,2026-01-04,2,7.15
D07,2026-01-05,1,8.54
D07,2026-01-06,0,11.88
D07,2026-01-07,2,11.93
D07,2026-01-08,0,7.59
D08,2025-10-11,13,1.3
D08,2025-10-12,14,3.51
D08,2025-10-13,8,2.27
D08,2025-10-14,4,3.75
D08,2025-10-15,5,3.89
D08,2025-10-16,12,1.39
D08,2025-10-17,4,3.94
D08,2025-10-18,5,1.25
D08,2025-10-19,5,3.05
D08,2025-10-20,11,2.63
D08,2025-10-21,5,1.26
D08,2025-10-22,6,2.88
D08,2025-10-23,6,1.14
D08,2025-10-24,12,2.2
D08,2025-10-25,5,3.89
D08,2025-10-26,12,3.29
D08,2025-10-27,4,3.6
D08,2025-10-28,12,2.28
D08,2025-10-29,11,1.84
D08,2025-10-30,13,1.26
D08,2025-10-31,6,1.22
D08,2025-11-01,9,1.75
D08,2025-11-02,9,1.08
D08,2025-11-03,14,3.96
D08,2025-11-04,11,1.04
D08,2025-11-05,10,1.74
D08,2025-11-06,8,3.56
D08,2025-11-07,10,2.41
D08,2025-11-08,12,3.01
D08,2025-11-09,11,2.19
D08,2025-11-10,8,2.09
D08,2025-11-11,10,3.03
D08,2025-11-12,14,1.59
D08,2025-11-13,13,1.63
D08,2025-11-14,9,1.82
D08,2025-11-15,10,1.73
D08,2025-11-16,5,3.32
D08,2025-11-17,12,3.45
D08,2025-11-18,11,3.12
D08,2025-11-19,11,2.35
D08,2025-11-20,14,1.15
D08,2025-11-21,8,3.04
D08,2025-11-22,12,3.12
D08,2025-11-23,7,2.48
D08,2025-11-24,10,3.65
D08,2025-11-25,5,1.24
D08,2025-11-26,13,3.63
D08,2025-11-27,8,3.0
D08,2025-11-28,4,2.16
D08,2025-11-29,11,3.71
D08,2025-11-30,8,2.74
D08,2025-12-01,13,1.17
D08,2025-12-02,5,2.79
D08,2025-12-03,4,2.96
D08,2025-12-04,12,3.63
D08,2025-12-05,12,3.83
D08,2025-12-06,12,2.93
D08,2025-12-07,9,3.61
D08,2025-12-08,7,1.51
D08,2025-12-09,11,1.84
D08,2025-12-10,4,1.44
D08,2025-12-11,8,1.7
D08,2025-12-12,6,3.67
D08,2025-12-13,10,3.5
D08,2025-12-14,8,2.71
D08,2025-12-15,9,3.11
D08,2025-12-16,13,1.34
D08,2025-12-17,8,3.46
D08,2025-12-18,5,2.63
D08,2025-12-19,14,3.52
D08,2025-12-20,9,3.58
D08,2025-12-21,8,1.19
D08,2025-12-22,12,2.1
D08,2025-12-23,5,3.7
D08,2025-12-24,7,1.4
D08,2025-12-25,9,2.06
D08,2025-12-26,7,3.34
D08,2025-12-27,11,3.0
D08,2025-12-28,10,3.12
D08,2025-12-29,10,2.85
D08,2025-12-30,6,3.9
D08,2025-12-31,8,2.97
D08,2026-01-01,10,1.07
D08,2026-01-02,4,1.64
D08,2026-01-03,11,2.94
D08,2026-01-04,6,2.35
D08,2026-01-05,6,3.94
D08,2026-01-06,14,1.89
D08,2026-01-07,11,2.07
D08,2026-01-08,13,3.58
D09,2025-10-11,8,3.48
D09,2025-10-12,9,2.9
D09,2025-10-13,6,2.99
D09,2025-10-14,10,2.11
D09,2025-10-15,7,3.85
D09,2025-10-16,13,3.49
D09,2025-10-17,8,3.9
D09,2025-10-18,8,2.51
D09,2025-10-19,6,2.17
D09,2025-10-20,11,2.63
D09,2025-10-21,11,3.24
D09,2025-10-22,6,3.7
D09,2025-10-23,10,3.62
D09,2025-10-24,7,1.34
D09,2025-10-25,12,3.68
D09,2025-10-26,12,2.79
D09,2025-10-27,9,1.23
D09,2025-10-28,7,2.85
D09,2025-10-29,10,2.1
D09,2025-10-30,5,3.46
D09,2025-10-31,12,2.12
D09,2025-11-01,10,3.21
D09,2025-11-02,10,1.79
D09,2025-11-03,8,3.23
D09,2025-11-04,6,1.92
D09,2025-11-05,4,1.77
D09,2025-11-06,8,2.69
D09,2025-11-07,4,3.91
D09,2025-11-08,6,1.59
D09,2025-11-09,14,2.24
D09,2025-11-10,13,3.58
D09,2025-11-11,13,2.44
D09,2025-11-12,9,2.9
D09,2025-11-13,5,1.07
D09,2025-11-14,10,3.5
D09,2025-11-15,12,1.73
D09,2025-11-16,13,3.28
D09,2025-11-17,4,1.26
D09,2025-11-18,9,2.18
D09,2025-11-19,13,1.99
D09,2025-11-20,14,2.41
D09,2025-11-21,7,3.63
D09,2025-11-22,10,2.06
D09,2025-11-23,7,3.29
D09,2025-11-24,13,3.7
D09,2025-11-25,4,3.81
D09,2025-11-26,7,3.34
D09,2025-11-27,6,3.2
D09,2025-11-28,12,3.67
D09,2025-11-29,8,2.19
D09,2025-11-30,4,3.71
D09,2025-12-01,1,7.57
D09,2025-12-02,2,7.78
D09,2025-12-03,0,9.76
D09,2025-12-04,0,8.53
D09,2025-12-05,0,8.94
D09,2025-12-06,0,10.12
D09,2025-12-07,2,9.83
D09,2025-12-08,2,8.36
D09,2025-12-09,1,11.16
D09,2025-12-10,0,8.41
D09,2025-12-11,1,8.64
D09,2025-12-12,0,6.34
D09,2025-12-13,0,10.72
D09,2025-12-14,0,6.2
D09,2025-12-15,2,7.17
D09,2025-12-16,0,10.01
D09,2025-12-17,0,7.49
D09,2025-12-18,2,11.83
D09,2025-12-19,2,9.69
D09,2025-12-20,0,6.59
D09,2025-12-21,2,7.03
D09,2025-12-22,2,8.33
D09,2025-12-23,1,11.76
D09,2025-12-24,2,11.31
D09,2025-12-25,1,11.86
D09,2025-12-26,1,9.57
D09,2025-12-27,0,7.74
D09,2025-12-28,1,11.24
D09,2025-12-29,0,7.45
D09,2025-12-30,0,11.96
D09,2025-12-31,0,9.76
D09,2026-01-01,0,11.16
D09,2026-01-02,0,6.69
D09,2026-01-03,1,10.28
D09,2026-01-04,0,10.11
D09,2026-01-05,0,7.0
D09,2026-01-06,1,7.75
D09,2026-01-07,2,7.91
D09,2026-01-08,2,8.29
D10,2025-10-11,4,3.22
D10,2025-10-12,11,2.22
D10,2025-10-13,5,1.53
D10,2025-10-14,11,3.33
D10,2025-10-15,7,3.12
D10,2025-10-16,11,2.17
D10,2025-10-17,14,3.21
D10,2025-10-18,13,2.19
D10,2025-10-19,6,1.64
D10,2025-10-20,10,3.53
D10,2025-10-21,10,2.39
D10,2025-10-22,6,1.32
D10,2025-10-23,11,2.47
D10,2025-10-24,10,2.36
D10,2025-10-25,4,2.23
D10,2025-10-26,12,2.75
D10,2025-10-27,5,2.31
D10,2025-10-28,13,1.92
D10,2025-10-29,12,2.01
D10,2025-10-30,8,2.41
D10,2025-10-31,7,2.49
D10,2025-11-01,4,1.41
D10,2025-11-02,13,1.9
D10,2025-11-03,11,2.11
D10,2025-11-04,8,1.69
D10,2025-11-05,9,1.25
D10,2025-11-06,8,1.47
D10,2025-11-07,14,3.42
D10,2025-11-08,7,1.02
D10,2025-11-09,9,2.58
D10,2025-11-10,8,3.91
D10,2025-11-11,6,3.55
D10,2025-11-12,8,1.35
D10,2025-11-13,4,1.57
D10,2025-11-14,6,3.06
D10,2025-11-15,5,3.0
D10,2025-11-16,9,2.36
D10,2025-11-17,7,3.71
D10,2025-11-18,13,2.46
D10,2025-11-19,13,3.53
D10,2025-11-20,8,3.22
D10,2025-11-21,8,1.46
D10,2025-11-22,11,3.43
D10,2025-11-23,9,1.82
D10,2025-11-24,7,3.54
D10,2025-11-25,14,3.13
D10,2025-11-26,7,3.58
D10,2025-11-27,8,2.55
D10,2025-11-28,14,3.6
D10,2025-11-29,9,2.83
D10,2025-11-30,12,1.11
D10,2025-12-01,11,2.57
D10,2025-12-02,9,1.12
D10,2025-12-03,10,3.41
D10,2025-12-04,9,2.66
D10,2025-12-05,14,2.11
D10,2025-12-06,10,2.28
D10,2025-12-07,14,1.04
D10,2025-12-08,8,2.91
D10,2025-12-09,10,1.0
D10,2025-12-10,9,3.8
D10,2025-12-11,14,2.91
